,well,row,column,image,cell_line,siRNA,1NM_conc,time,MI,cell_count
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,200,57.89,437
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,210,56.26,439
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,220,59.73,442
0,B1,1,1,400997,U2OScdk1as,siCtr,0.125,230,58.58,437
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,0,2.6,385
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,10,2.27,396
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,20,2.53,396
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,30,3.77,398
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,40,11.9,395
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,50,27.27,385
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,60,40.15,396
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,70,44.22,389
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,80,44.87,390
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,90,46.34,382
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,100,47.83,391
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,110,48.59,391
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,120,47.7,392
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,130,48.85,391
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,140,48.73,394
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,150,47.49,398
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,160,47.22,396
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,170,46.85,397
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,180,48.22,394
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,190,47.33,393
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,200,48.34,391
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,210,46.94,392
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,220,46.82,393
0,B1,1,1,400998,U2OScdk1as,siCtr,0.125,230,47.68,388
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,0,1.52,330
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,10,3.03,330
